d1,d2,type
DB00454,DB01320,1
DB00374,DB00788,1
DB00250,DB00482,1
DB00668,DB05039,1
DB00749,DB09026,1
DB00946,DB01254,1
DB00503,DB00555,1
DB00414,DB01120,1
DB00186,DB01202,1
DB00384,DB00678,1
DB00232,DB00820,1
DB00427,DB06204,1
DB00285,DB00673,1
DB00374,DB00418,1
DB01021,DB01124,1
DB00176,DB00370,1
DB00418,DB00964,1
DB00367,DB01232,1
DB01222,DB09104,1
DB00607,DB00798,1
DB00734,DB00898,1
DB00363,DB00382,1
DB06290,DB08873,1
DB00195,DB00277,1
DB00607,DB00622,1
DB00312,DB00543,1
DB01367,DB01560,1
DB00215,DB00889,1
DB00715,DB00946,1
DB00474,DB09072,1
DB01167,DB09053,1
DB00422,DB09128,1
DB00412,DB00834,1
DB00393,DB01164,1
DB00425,DB00850,1
DB00214,DB08976,1
DB01174,DB09083,1
DB00543,DB01267,1
DB00492,DB01354,1
DB00908,DB04920,1
DB00344,DB08893,1
DB01320,DB06201,1
DB00983,DB01021,1
DB00333,DB08905,1
DB00363,DB01248,1
DB00628,DB08933,1
DB06203,DB06791,1
DB00734,DB01136,1
DB00427,DB01577,1
DB00957,DB04876,1
DB00916,DB09256,1
DB00091,DB01601,1
DB00651,DB01068,1
DB00630,DB00736,1
DB01124,DB01251,1
DB00334,DB00998,1
DB00404,DB08820,1
DB00216,DB00623,1
DB00224,DB00980,1
DB00898,DB01203,1
DB00621,DB08907,1
DB01100,DB09272,1
DB00159,DB01009,1
DB00648,DB00773,1
DB08907,DB09123,1
DB00486,DB00794,1
DB00503,DB00956,1
DB00682,DB08912,1
DB00559,DB00582,1
DB00331,DB00808,1
DB01320,DB06697,1
DB00752,DB01560,1
DB00503,DB00571,1
DB01168,DB04844,1
DB00176,DB01045,1
DB00203,DB01026,1
DB04348,DB08880,1
DB06711,DB09082,1
DB00834,DB06207,1
DB01072,DB08918,1
DB01167,DB02703,1
DB00285,DB00554,1
DB00252,DB01235,1
DB08883,DB09300,1
DB00501,DB00679,1
DB01114,DB09065,1
DB00967,DB01278,1
DB01623,DB06700,1
DB00783,DB01232,1
DB00503,DB00613,1
DB00470,DB05246,1
DB01168,DB04817,1
DB00263,DB01251,1
DB01100,DB01149,1
DB00615,DB06414,1
DB00091,DB00339,1
DB01623,DB06148,1
DB00529,DB06696,1
DB01156,DB04861,1
DB00374,DB08887,1
DB00313,DB01320,1
DB00273,DB00455,1
DB00252,DB00395,1
DB00300,DB01082,1
DB00615,DB04855,1
DB00366,DB00611,1
DB00872,DB01609,1
DB00695,DB01016,1
DB00834,DB00883,1
DB00391,DB00986,1
DB01609,DB06789,1
DB01232,DB06176,1
DB00203,DB01167,1
DB01356,DB08976,1
DB00961,DB06704,1
DB00401,DB00468,1
DB00366,DB00434,1
DB00203,DB00418,1
DB01359,DB01392,1
DB00512,DB01172,1
DB01351,DB01427,1
DB06589,DB09118,1
DB00552,DB01073,1
DB01026,DB06684,1
DB01041,DB04844,1
DB00257,DB00864,1
DB00374,DB09242,1
DB00623,DB00972,1
DB00454,DB01319,1
DB00312,DB00444,1
DB00834,DB01058,1
DB00722,DB00862,1
DB01030,DB04868,1
DB00502,DB06603,1
DB01590,DB08899,1
DB09054,DB09074,1
DB00921,DB01236,1
DB00450,DB00476,1
DB00337,DB00741,1
DB01069,DB06603,1
DB00273,DB09300,1
DB08873,DB09030,1
DB00563,DB01602,1
DB00264,DB01156,1
DB06207,DB09073,1
DB00898,DB00900,1
DB01037,DB01184,1
DB02703,DB08860,1
DB00672,DB01359,1
DB00682,DB01207,1
DB00390,DB06724,1
DB00309,DB08865,1
DB00554,DB00700,1
DB00470,DB00985,1
DB00390,DB00452,1
DB00490,DB00648,1
DB00907,DB01407,1
DB00206,DB01233,1
DB01173,DB04841,1
DB00181,DB00854,1
DB00723,DB05039,1
DB00482,DB09026,1
DB00334,DB04839,1
DB00996,DB11110,1
DB01377,DB06817,1
DB09039,DB09065,1
DB00398,DB00648,1
DB00474,DB01021,1
DB00327,DB06274,1
DB00216,DB01072,1
DB00333,DB01267,1
DB00540,DB04842,1
DB00176,DB00379,1
DB01058,DB09118,1
DB00252,DB00440,1
DB01201,DB01354,1
DB00798,DB01413,1
DB00359,DB00657,1
DB00270,DB01392,1
DB00474,DB00949,1
DB00215,DB06663,1
DB00370,DB00472,1
DB00264,DB09039,1
DB00454,DB01238,1
DB01118,DB04861,1
DB01041,DB05246,1
DB00937,DB01577,1
DB01609,DB06335,1
DB00541,DB05294,1
DB00187,DB00195,1
DB01232,DB09063,1
DB00559,DB01175,1
DB00623,DB00780,1
DB00398,DB01167,1
DB00677,DB01264,1
DB00317,DB01390,1
DB00613,DB08911,1
DB01150,DB01418,1
DB00540,DB00679,1
DB00346,DB00692,1
DB00199,DB00661,1
DB00367,DB08882,1
DB00204,DB08871,1
DB00461,DB00946,1
DB00648,DB00673,1
DB01149,DB06684,1
DB01356,DB01367,1
DB00461,DB01082,1
DB00193,DB01037,1
DB00181,DB00413,1
DB00373,DB01264,1
DB01017,DB01320,1
DB00414,DB04868,1
DB00969,DB01149,1
DB01064,DB01189,1
DB00401,DB00734,1
DB00409,DB01168,1
DB00564,DB08934,1
DB01217,DB04574,1
DB01397,DB06817,1
DB01050,DB06228,1
DB00220,DB08827,1
DB00633,DB00780,1
DB00619,DB09074,1
DB00450,DB01577,1
DB00337,DB01042,1
DB00203,DB00898,1
DB00732,DB00753,1
DB06335,DB08820,1
DB01045,DB01211,1
DB00813,DB05271,1
DB00633,DB09220,1
DB00540,DB01224,1
DB01030,DB06210,1
DB00543,DB09242,1
DB00796,DB04884,1
DB00648,DB00661,1
DB00368,DB01247,1
DB00474,DB01395,1
DB00962,DB08883,1
DB01232,DB06695,1
DB00486,DB09072,1
DB00205,DB06708,1
DB00393,DB01337,1
DB01254,DB06145,1
DB00765,DB00844,1
DB09242,DB09477,1
DB00321,DB00857,1
DB00712,DB01172,1
DB00434,DB00486,1
DB02703,DB06287,1
DB00418,DB00996,1
DB00334,DB00813,1
DB00268,DB00934,1
DB00199,DB01254,1
DB00503,DB00530,1
DB04861,DB06218,1
DB01403,DB09290,1
DB00204,DB00808,1
DB01021,DB01106,1
DB01041,DB01192,1
DB00252,DB00557,1
DB00500,DB00642,1
DB00749,DB09053,1
DB00373,DB00715,1
DB00246,DB01576,1
DB01233,DB09069,1
DB08794,DB08887,1
DB01112,DB06696,1
DB00222,DB01267,1
DB00780,DB01359,1
DB00561,DB00668,1
DB00188,DB00665,1
DB00472,DB06605,1
DB00246,DB00472,1
DB00622,DB01392,1
DB00541,DB01174,1
DB00230,DB00370,1
DB00277,DB00559,1
DB00201,DB00401,1
DB00860,DB01124,1
DB00541,DB06717,1
DB01041,DB01174,1
DB00035,DB00420,1
DB00835,DB01173,1
DB01168,DB06204,1
DB00215,DB00738,1
DB00454,DB09272,1
DB01129,DB01263,1
DB00962,DB00972,1
DB00651,DB00865,1
DB00215,DB03619,1
DB00872,DB00976,1
DB00263,DB00541,1
DB00723,DB01364,1
DB01181,DB06414,1
DB00422,DB00960,1
DB00243,DB06616,1
DB08820,DB08865,1
DB00697,DB01173,1
DB00502,DB09118,1
DB00784,DB01356,1
DB05246,DB08912,1
DB00310,DB08882,1
DB00608,DB06697,1
DB05521,DB06603,1
DB01355,DB08822,1
DB01288,DB01620,1
DB00366,DB01080,1
DB01182,DB01319,1
DB00474,DB00796,1
DB00541,DB04868,1
DB01008,DB01026,1
DB06228,DB08918,1
DB00313,DB01083,1
DB01151,DB01173,1
DB04868,DB08873,1
DB01235,DB08941,1
DB00908,DB06717,1
DB00091,DB01320,1
DB00652,DB00999,1
DB00745,DB06626,1
DB00091,DB00401,1
DB00715,DB01016,1
DB00266,DB06209,1
DB00193,DB00514,1
DB00176,DB08827,1
DB00484,DB00909,1
DB00307,DB00957,1
DB00648,DB08881,1
DB00608,DB00648,1
DB06335,DB09054,1
DB00598,DB00935,1
DB00248,DB00668,1
DB00479,DB00732,1
DB00421,DB06767,1
DB01029,DB04884,1
DB00484,DB00771,1
DB00700,DB09477,1
DB00687,DB01185,1
DB00307,DB00622,1
DB00613,DB06684,1
DB00594,DB00899,1
DB00214,DB09477,1
DB01156,DB01601,1
DB00813,DB04884,1
DB00862,DB00960,1
DB00672,DB00741,1
DB00270,DB00780,1
DB09050,DB09268,1
DB00227,DB06724,1
DB00610,DB00945,1
DB00182,DB01064,1
DB00498,DB09123,1
DB00332,DB01224,1
DB00758,DB09119,1
DB00215,DB00752,1
DB00377,DB06204,1
DB00222,DB09128,1
DB00966,DB01354,1
DB00181,DB00366,1
DB00484,DB00972,1
DB00293,DB00363,1
DB00813,DB06204,1
DB01210,DB04855,1
DB00557,DB08897,1
DB00925,DB01244,1
DB00412,DB01241,1
DB01095,DB09055,1
DB00310,DB00387,1
DB00391,DB01148,1
DB08877,DB09054,1
DB00571,DB01030,1
DB00163,DB09068,1
DB00622,DB06717,1
DB00601,DB00937,1
DB01174,DB09049,1
DB00230,DB01132,1
DB00773,DB01320,1
DB00541,DB09048,1
DB01418,DB04896,1
DB00222,DB00635,1
DB00658,DB01059,1
DB06290,DB09128,1
DB00196,DB09074,1
DB01026,DB09128,1
DB00537,DB04908,1
DB00564,DB00622,1
DB00321,DB00653,1
DB00476,DB00907,1
DB00186,DB00395,1
DB00195,DB00806,1
DB09073,DB09143,1
DB00945,DB01268,1
DB00668,DB08815,1
DB01211,DB04868,1
DB00266,DB00903,1
DB00490,DB00889,1
DB00177,DB00975,1
DB00187,DB00489,1
DB00166,DB00672,1
DB00177,DB00270,1
DB00540,DB00677,1
DB01062,DB04924,1
DB00734,DB06335,1
