d1,type,d2
DB00706,1,DB01023
DB00802,1,DB00872
DB00912,1,DB01238
DB00601,1,DB01104
DB00370,1,DB08881
DB06603,1,DB08899
DB00780,1,DB01015
DB00861,1,DB01418
DB00477,1,DB00956
DB08794,1,DB09123
DB00484,1,DB01595
DB00321,1,DB01577
DB00193,1,DB00559
DB00214,1,DB00263
DB00898,1,DB00909
DB00332,1,DB01407
DB00712,1,DB01254
DB00214,1,DB00806
DB00440,1,DB01229
DB00215,1,DB00333
DB00872,1,DB01219
DB00708,1,DB09083
DB00986,1,DB11181
DB00437,1,DB00584
DB00237,1,DB08867
DB01067,1,DB06335
DB00586,1,DB01254
DB00991,1,DB03619
DB00307,1,DB00539
DB00281,1,DB00872
DB00737,1,DB01278
DB00359,1,DB00586
DB00674,1,DB00834
DB00343,1,DB01354
DB00871,1,DB01001
DB00521,1,DB00975
DB00387,1,DB00850
DB00413,1,DB00557
DB00368,1,DB00816
DB00477,1,DB06148
DB00732,1,DB00843
DB00258,1,DB00595
DB00682,1,DB00687
DB00333,1,DB01264
DB00277,1,DB01356
DB00268,1,DB04953
DB01168,1,DB01239
DB06335,1,DB08883
DB00246,1,DB04876
DB00159,1,DB01175
DB00628,1,DB01403
DB00741,1,DB08882
DB00765,1,DB01621
DB00648,1,DB01621
DB00502,1,DB01149
DB00852,1,DB00871
DB00661,1,DB01184
DB01030,1,DB08820
DB01111,1,DB06696
DB01215,1,DB01264
DB00470,1,DB01232
DB00196,1,DB00475
DB00668,1,DB00945
DB00648,1,DB06228
DB00557,1,DB00794
DB01045,1,DB01320
DB00952,1,DB06288
DB00182,1,DB00388
DB01210,1,DB09063
DB00440,1,DB00691
DB01151,1,DB04842
DB04348,1,DB06210
DB00712,1,DB04272
DB00706,1,DB01254
DB00393,1,DB00705
DB00374,1,DB06789
DB00950,1,DB01173
DB00181,1,DB00366
DB00177,1,DB00697
DB00289,1,DB00752
DB00248,1,DB06711
DB01061,1,DB01172
DB00653,1,DB01045
DB00332,1,DB01409
DB00584,1,DB09026
DB00983,1,DB06701
DB00250,1,DB02703
DB01037,1,DB06204
DB00293,1,DB11256
DB00300,1,DB00712
DB00307,1,DB01198
DB01254,1,DB09401
DB00482,1,DB00684
DB01097,1,DB01418
DB01075,1,DB09076
DB00996,1,DB06723
DB00273,1,DB00985
DB06290,1,DB06695
DB00193,1,DB00220
DB00159,1,DB00635
DB00542,1,DB00780
DB01235,1,DB04920
DB00741,1,DB01045
DB00216,1,DB00673
DB00387,1,DB01403
DB00310,1,DB04876
DB00486,1,DB00831
DB00370,1,DB01080
DB00864,1,DB01656
DB05521,1,DB09166
DB00872,1,DB01253
DB00975,1,DB01203
DB00710,1,DB00919
DB00864,1,DB01254
DB01030,1,DB04817
DB00409,1,DB00454
DB00899,1,DB01173
DB00594,1,DB00802
DB00199,1,DB00996
DB01393,1,DB08860
DB00201,1,DB00717
DB00501,1,DB09256
DB00503,1,DB01118
DB00687,1,DB01203
DB00346,1,DB00584
